input,output
aayien ?,"print(""______Class and object______"") class employee: def _init_(self): self.name = input(""Enter name:"") self.id = int(input(""Enter your id:"")) self.basic_sal = float(input(""Enter your basic salary:"")) def logic(self): self.ta = 0.1*self.basic_sal self.da = 0.3*self.basic_sal self.hra = 0.15*self.basic_sal self.gross = self.basic_sal + self.ta + self.da + self.hra def display(self): print(""name of employee"",self.name) print(""id of empoyee"",self.id) print(""Gross salary"",self.gross) e=employee() e.logic() e.display() run karke thek ye"
inheritance chai peene gaya hai thodi der baad aayega,ha class and object ka program he
haa wo bhi error de raha hai,kyu? sir ka program he na phir bhi?
haaa,varna gfg se uthavu kya?
haaa,"print(""______Functions______"") class functions: a = int(input(""Enter first number"")) b = int(input(""Enter second number"")) def sum(self): self.c = self.a + self.b print(""Addition of the two numbers is "",self.c) def mul(self): self.d = self.a*self.b print(""Multiplication of the two numbers is "", self.d) def sub(self): self.e = self.a - self.b print(""Subtraction of the two numbers is "", self.e) def div(self): self.f = float(self.a/self.b) print(""Division of the two numbers is "", self.f) s=functions() ch = 1 while (ch!=5): print(""1.)ADD\n2.)MULTIPLICATION\n3.)SUBTRACTION\n4.)DIVISION\n5.)EXIT"") ch = int(input(""Enter your choice:"")) if ch==1: s.sum() elif ch==2: s.mul() elif ch==3: s.sub() elif ch==4: s.div() else : print(""Thank you"") print(""______Class and object______"") class employee: def __init__(self,name,id,basic_sal): self.name = name self.id = id self.basic_sal = basic_sal def logic(self): self.ta = 0.1*self.basic_sal self.da = 0.3*self.basic_sal self.hra = 0.15*self.basic_sal self.gross = self.basic_sal + self.ta + self.da + self.hra def display(self): print(""name of employee"",self.name) print(""id of empoyee"",self.id) print(""Gross salary"",self.gross) name = input(""Enter name:"") id = int(input(""Enter your id:"")) basic_sal = float(input(""Enter your basic salary:"")) e=employee(name,id,basic_sal) e.logic() e.display() print(""______Inheritance______"") class Person(object): def __init__(self, name, idnumber): self.name = name self.idnumber = idnumber def display(self): print(self.name) print(self.idnumber) class Employee(Person): def __init__(self, name, idnumber, salary, post): self.salary = salary self.post = post Person.__init__(self, name, idnumber) a = Employee('Rahul', 886012, 200000, ""Intern"") a.display() print(""______Exception Handling______"") i = 1 while i<=5: n = int(input(""Please enter nubers between 1 to 5:"")) if n==1: try: a = int(input(""Please enter a number a"")) b = int(input(""Please enter a number b"")) c = a/b except ZeroDivisionError: print(""OOPS!Number divisible by zero exception occurs"") else: print(""Division is "",c) elif n==2: try: a = int(input(""Please enter a number a"")) b = int(input(""Please enter a number b"")) c = a/b except ValueError: print(""OOPS!Value Error exception occurs"") else: print(""Division is "",c) elif n==3: try: a = int(input(""Please enter a number a"")) b = int(input(""Please enter a number b"")) c = a/b except NameError: print(""OOPS!Name Error exception occurs"") else: print(""Division is "",c) elif n==4: try: n == '2'+2 except TypeError: print(""OOPS!Type error exception occurs"") else: print(""Division is "",c) elif n==5: try: n = int(input(""PLease enter nos betweem 2 and 3"")) assert n>=2 and n<=3 print(""The number enterd is "",n) except AssertionError: print(""OOPS!Assertion Error exception occurs"") else: print(""Division is "",c) hua run"
class and object wala error de raha hai,exception handling bekar che. thamto nathi
output nikalke bhej na nahi ho raha mere se,"print(""______Functions______"") class functions: a = int(input(""Enter first number"")) b = int(input(""Enter second number"")) def sum(self): self.c = self.a + self.b print(""Addition of the two numbers is "",self.c) def mul(self): self.d = self.a*self.b print(""Multiplication of the two numbers is "", self.d) def sub(self): self.e = self.a - self.b print(""Subtraction of the two numbers is "", self.e) def div(self): self.f = float(self.a/self.b) print(""Division of the two numbers is "", self.f) s=functions() ch = 1 while (ch!=5): print(""1.)ADD\n2.)MULTIPLICATION\n3.)SUBTRACTION\n4.)DIVISION\n5.)EXIT"") ch = int(input(""Enter your choice:"")) if ch==1: s.sum() elif ch==2: s.mul() elif ch==3: s.sub() elif ch==4: s.div() else : print(""Thank you"") print(""______Class and object______"") class employee: def __init__(self,name,id,basic_sal): self.name = name self.id = id self.basic_sal = basic_sal def logic(self): self.ta = 0.1*self.basic_sal self.da = 0.3*self.basic_sal self.hra = 0.15*self.basic_sal self.gross = self.basic_sal + self.ta + self.da + self.hra def display(self): print(""name of employee"",self.name) print(""id of empoyee"",self.id) print(""Gross salary"",self.gross) name = input(""Enter name:"") id = int(input(""Enter your id:"")) basic_sal = float(input(""Enter your basic salary:"")) e=employee(name,id,basic_sal) e.logic() e.display() print(""______Inheritance______"") class Person(object): def __init__(self, name, idnumber): self.name = name self.idnumber = idnumber def display(self): print(self.name) print(self.idnumber) class Employee(Person): def __init__(self, name, idnumber, salary, post): self.salary = salary self.post = post Person.__init__(self, name, idnumber) a = Employee('Rahul', 886012, 200000, ""Intern"") a.display() print(""______Exception Handling______"") i = 1 while i<=5: n = int(input(""Please enter nubers between 1 to 5:"")) if n==1: try: a = int(input(""Please enter a number a"")) b = int(input(""Please enter a number b"")) c = a/b except ZeroDivisionError: print(""OOPS!Number divisible by zero exception occurs"") else: print(""Division is "",c) elif n==2: try: a = int(input(""Please enter a number a"")) b = int(input(""Please enter a number b"")) c = a/b except ValueError: print(""OOPS!Value Error exception occurs"") else: print(""Division is "",c) elif n==3: try: a = int(input(""Please enter a number a"")) b = int(input(""Please enter a number b"")) c = a/b except NameError: print(""OOPS!Name Error exception occurs"") else: print(""Division is "",c) elif n==4: try: n == '2'+2 except TypeError: print(""OOPS!Type error exception occurs"") else: print(""Division is "",c) elif n==5: try: n = int(input(""PLease enter nos betweem 2 and 3"")) assert n>=2 and n<=3 print(""The number enterd is "",n) except AssertionError: print(""OOPS!Assertion Error exception occurs"") else: print(""Division is "",c) ______Functions______ Enter first number1 Enter second number2 1.)ADD 2.)MULTIPLICATION 3.)SUBTRACTION 4.)DIVISION 5.)EXIT Enter your choice:5 Thank you ______Class and object______ Enter name:amey Enter your id:132 Enter your basic salary:1200000 name of employee amey id of empoyee 132 Gross salary 1860000.0 ______Inheritance______ Rahul 886012 ______Exception Handling______ Please enter nubers between 1 to 5:1 Please enter a number a12 Please enter a number b0 OOPS!Number divisible by zero exception occurs Please enter nubers between 1 to 5:2 Please enter a number a-1i OOPS!Value Error exception occurs practical 3 na?"
Haaa thanks kal bohot sare pages leke aana blank print bohot hai kal Ameeeeeeyyyyyyyyy Sblc W R I T E U P,I don't have them
We'll have to buy tomorrow,Yaa I will write OS experiment 4 tomorrow... Will go sleep.
Alright,Later
